,video_id,title,views,likes,comments,duration_minutes,publish_time_hours
242,ZotXHXSv5G8,HOW TO GET A SUGAR DADDY Makeup Tutorial,3183213,94893.0,7962.0,14.33,23.55
243,80-vG2_o1Kc,"THE TRUTH ABOUT MY EXTREME ANTI-AGING: Advice, Tips & Secrets...",2843409,99913.0,11177.0,18.87,23.57
244,veSA5XgCpG0,$4.99 DRUGSTORE HIGHLIGHTER VS. $70.00 CHANEL HIGHLIGHTER,4028185,123649.0,8579.0,13.78,0.68
245,UH1DaBrvDHw,FULL FACE FIRST IMPRESSIONS | TRYING NEW MAKEUP!,4236121,128559.0,10539.0,22.45,2.65
246,XHhdbYdR2W8,READING MEAN HATE COMMENTS feat. MANNY MUA,4752682,220977.0,37571.0,14.15,1.55
247,WPQOcRZ0qSQ,TESTING OUT VIRAL 'SPACE PASTE GLITTER' feat. Laura Lee,2836210,107232.0,7786.0,17.5,0.87
248,THgfwXhotUs,$135 CHANEL FOUNDATION... Is It Jeffree Star Approved??,2366795,68274.0,4505.0,15.33,1.7
249,wYwdyP4LWQ4,MARCH HOLY GRAILS... AND FAILS | 2017,2080387,74951.0,7744.0,15.67,23.8
250,9lbkKCLsMSM,Jeffree Star Cosmetics X Manny MUA Collab | Makeup Tutorial,1990805,73194.0,5786.0,15.8,23.53
251,wdD8oG8pOZQ,TESTING THE WORLD'S MOST FULL COVERAGE FOUNDATION! | Jeffree Star,6270153,195326.0,12887.0,16.5,0.78
252,rdoUqAZBXhg,I DO MY BOYFRIEND'S BROTHER'S MAKEUP | Jeffree Star,8976741,294088.0,41319.0,19.97,23.57
253,5qKGhcOmCo8,$75 LIQUID LINER + $70 MASCARA!! Testing NEW Christian Louboutin Beauty Products,2183065,69761.0,6170.0,16.85,23.5
254,Rmv-zl8FS2Q,LANCÔME CUSTOM SHADE MATCHING FOUNDATION MACHINE! | Does It Work???,3989205,124364.0,6696.0,18.0,23.88
255,lw-KiPR1m54,KYLIE COSMETICS: KYLIGHTERS... Are They Jeffree Star Approved?!,4469799,128430.0,10159.0,14.0,1.23
256,cogXwKvG6co,TESTING OUT VIRAL 'UNICORN OIL' feat. Laura Lee,4430763,105039.0,8590.0,17.23,2.03
257,qNtfkUe_zIQ,MY BOYFRIEND GETS BOTOX... IN HIS ARMPITS!! (Graphic Content!),10210474,167535.0,10275.0,11.93,1.4
258,B9mp1gaKOw4,MAC Spring 17' RETRO MATTE LIQUID LIPSTICKS: Review & Swatches | Jeffree Star,2194596,79736.0,7095.0,14.02,0.62
259,3l7PJUSzJRE,COVERING UP MY TATTOOS WITH MAKEUP | Jeffree Star,12303254,273149.0,19696.0,15.62,23.77
260,RL0M8LIOgSo,NICOLE GUERRIERO x ANASTASIA #GLOWKIT - Review & Swatches,2588380,103585.0,6229.0,10.78,23.83
261,uL9S_SRokCA,ARMANI Power Fabric FOUNDATION.... Is It Jeffree Star Approved???,1849848,62925.0,5928.0,13.83,0.88
262,9XP1Vs9Hz4E,WALKING INTO YOUR MAN'S BEDROOM ♥ Makeup Tutorial | Androgyny Palette,2066197,71009.0,5490.0,11.57,0.63
263,N3u8N8k-PoI,INSTAGRAM MADE ME BUY IT.... TESTING OUT *NEW* HIGHLIGHTERS!,4146833,110742.0,8460.0,18.23,6.03
264,tg5SdiwuSF8,ANTI-AGING LACE FACE MASK... Does It Work??? feat. MANNY MUA,1827919,64831.0,4424.0,13.3,0.6
265,sy0tHd_yvsY,PARIS WITH NATHAN.... GETTING TATTOOS & IMATS MAKEUP SHOW!,5250942,118671.0,7669.0,14.55,3.75
266,uytrgG4DN9k,TESTING OIL BLOTTING SHEETS.... AND SMOKING IT!,2651963,84336.0,9389.0,13.98,1.73
267,n9fNCrXG6V8,JANUARY HOLY GRAILS.... AND FAILS | 2017,1895138,69229.0,6758.0,16.97,1.68
268,Peh_vv9yDvg,GOING TO MY EX'S FUNERAL Makeup Tutorial | Androgyny Palette,4411729,121330.0,8304.0,16.02,0.47
269,ZghSrG0_A1Y,ANDROGYNY EYESHADOW PALETTE REVEAL! | Jeffree Star Cosmetics,2750712,130846.0,23977.0,11.58,1.53
270,aOZS5npQl9s,LANCÔME ROSE HIGHLIGHTER: Is It Jeffree Star Approved???,7625266,203517.0,12911.0,12.28,2.13
271,YJu2SvXkyPI,BURBERRY LIQUID LIP VELVETS... Are They Jeffree Star Approved??,1870388,69732.0,8515.0,13.1,1.12
272,3vkfpi4I0FY,"NO TEA, NO SHADE Makeup Tutorial | Jeffree Star",1339331,49906.0,6000.0,16.98,0.9
273,SP-EXHPs164,URBAN DECAY 'VICE' LIQUID LIPSTICKS: Review & Swatches,2434592,71922.0,8098.0,14.83,0.6
274,RtQ8vpvdVwA,$5.99 FOUNDATION VS. $125 FOUNDATION,4129935,137200.0,13089.0,17.37,0.03
275,E2bURCvhoVg,GET READY IN MY ROLLS ROYCE feat. Nikita Dragun,6466413,171725.0,16755.0,27.18,1.28
276,rntvqup88OY,Glowing 1000 DEGREE KNIFE VS. CHANEL BAG + MAKEUP,11643440,284675.0,31362.0,19.9,0.38
277,WlrXpmHQI-g,Kylie Cosmetics THE ROYAL PEACH PALETTE: Review & Tutorial,2876384,99634.0,9927.0,17.25,0.68
278,2reryH40uqM,FULL FACE USING ONLY E.L.F. PRODUCTS!! | Jeffree Star,8776279,235224.0,21609.0,23.83,0.67
279,qKV0dkQ6Evk,$12 MAKEUP PRIMER VS. $140 MAKEUP PRIMER,2765040,83532.0,9578.0,12.62,3.78
280,bkx4yLvlOFs,FULL FACE USING ONLY GLITTER Challenge | Jeffree Star,5350417,135588.0,13628.0,15.93,1.57
281,NhFRrEvRyzQ,READY TO GET PREGNANT Smokey Eye | Jeffree Star,1824859,62054.0,6532.0,11.75,1.62
282,wVNSpkdMq1I,GUCCI Satin Matte FOUNDATION.... Is It Jeffree Star Approved???,3410248,91258.0,7639.0,15.22,1.83
283,-Uc2IutEwns,MY NEW BARBIE BMW i8 | Jeffree Star [4K Ultra HD],5187719,120459.0,10327.0,9.28,1.5
284,m8CsZZK__YA,$38 ARMANI 'LIP MAGNET' LIQUID LIPSTICKS: Swatches & Review,1722514,53550.0,6183.0,11.63,0.55
285,FiYxV4RR9AU,SILISPONGE Silicone Sponge REVIEW & DEMO | Jeffree Star,9589933,237321.0,14292.0,13.47,2.47
286,bFRFq4mj7fs,QUICK GLOWY HOLIDAY MAKEUP TUTORIAL | Jeffree Star,1114483,43421.0,4617.0,15.37,2.0
287,ZGaLHNW7mxQ,$4 HIGHLIGHTER VS. $95 HIGHLIGHTER,7144430,195398.0,14703.0,11.05,2.87
288,TZQBEO7rQDA,VACUUM PORE CLEANER.... OMG!! | Jeffree Star,4479200,88223.0,,7.73,0.53
289,BwFUogEu-hw,MARC JACOBS LIQUID LIPSTICKS: Review & Swatches | Jeffree Star,1872844,65514.0,8113.0,10.77,0.7
290,XLRGpeavfwk,NOVEMBER FAVORITES 2016 | Jeffree Star,1359549,48745.0,8085.0,17.33,1.2
291,BfVf29Rjwf0,"$3,300 GOLD FACE MASK??!! Review + Demo feat. Laganja Estranja",4552940,105766.0,9661.0,13.6,3.08
292,zN8VaCmKuyk,GET READY WITH ME feat. Adore Delano,4928983,158063.0,14732.0,20.5,1.52
293,zDiiip4p4oM,BOYFRIEND Q&A: Part 3 | Jeffree Star,4601013,98021.0,,15.85,1.45
294,QehSyHDnNIQ,BAD BITCH SMOKEY EYE Makeup Tutorial | Jeffree Star,1867550,59594.0,4570.0,12.77,1.62
295,vKL-UW0YXYA,VAGINA HIGHLIGHTERS... WTF!!! feat. MANNY MUA,5406738,150900.0,9420.0,9.62,1.97
296,8J-HCRbMhtA,HOLIDAY 2016 LIQUID LIPSTICK & SKIN FROST REVEAL | Jeffree Star Cosmetics,5216492,121024.0,19806.0,24.37,0.87
297,hFrcQFodvU8,KYLIE COSMETICS: THE KOKO KOLLECTION | Review & Swatches,2898897,90956.0,6446.0,8.8,1.63
298,e-WDnDPNK70,DIOR 'ROUGE' LIPSTICKS: Review & Swatches | Jeffree Star,1608729,52596.0,5010.0,10.93,0.52
299,fxU3IjHwtN8,$800 RARE PEARL FACIAL PEEL + CREAM?! Review + Demo,2365971,62318.0,5541.0,11.58,23.5
300,1M9vK-2f_tM,EASY DATE NIGHT Makeup Tutorial | Jeffree Star,2037347,60226.0,6447.0,17.52,23.2
301,OA33oqHIN94,THE JEFFREE STAR TATTOO DIARIES: PART 1,7212897,184591.0,,18.17,23.27
302,TH-L50NciZ0,JEFFREE STAR COSMETICS: ON THE ROAD (PART 3),2581097,49213.0,3221.0,13.38,2.72
303,T23xhXW_m8k,$150 STAINLESS STEEL MASCARA WAND! First Impressions | Jeffree Star,5473616,149846.0,10027.0,10.92,23.53
304,RdF5_0G5E4c,Kylie Jenner THE BURGUNDY PALETTE: Review & Tutorial,2805167,88797.0,9753.0,14.13,23.5
305,YgttEpJRz4Y,GET READY WITH US feat. NIKKIETUTORIALS & MANNY MUA,6842589,181990.0,,26.1,23.67
306,eRNH3N7QsYw,ABH ♥ MASTER PALETTE BY MARIO Tutorial | Jeffree Star,1360779,42294.0,3603.0,16.42,3.13
307,eINu5FAnz5Q,GET READY IN MY ROLLS ROYCE feat. Laganja Estranja,3879191,102628.0,11005.0,26.68,0.35
308,R7Pk7aTA0Fg,LOUIS VUITTON FALL 2016 HAUL | Jeffree Star,3263083,91215.0,12124.0,10.2,0.12
309,5jhS1uKnLy4,HOT PINK 'MAGAZINE COVER' MAKEUP TUTORIAL | Jeffree Star,771437,31618.0,2354.0,17.35,0.17
310,dGInFxS95Qs,HALLOWEEN HIGHLIGHTERS!! Review & Swatches | Jeffree Star,1354078,59092.0,5789.0,10.68,4.75
311,UheyA5HiKsg,SEPTEMBER FAVORITES 2016 | Jeffree Star,1628780,53840.0,6769.0,11.47,0.9
312,2-IkN7k5zrQ,$200 FACE PRIMER REVIEW + CLASSIC GLOW Makeup Tutorial | Jeffree Star,1376026,45341.0,3871.0,20.02,21.13
313,ma47B7RgLFg,CHANEL LIQUID LIPSTICKS: Review & Swatches | Jeffree Star,2329413,69095.0,6260.0,11.87,1.5
314,E2Xhfyd8SsU,KYLIE JENNER 'Fall 2016'  LIP KITS: Review & Swatches | Jeffree Star,3847882,105015.0,8105.0,9.7,22.83
315,MH_wwFEg9js,MAGNETIC FACE MASK + KOREAN SKIN CARE: First Impressions,4088098,106151.0,8072.0,16.93,0.63
316,3-J2_agZfDI,NO BROWS PINK CUT CREASE Makeup Tutorial | Jeffree Star,1160759,42206.0,5070.0,16.23,23.47
317,fWd5LepxiE4,GUCCI HAUL | Jeffree Star,7603878,180559.0,16817.0,14.28,20.4
